ano_eje;sec_ejec;pliego;ejecutora;origen;fuente_financ_agregada;fuente_financ;tipo_recurso;tipo_transaccion;generica;subgenerica;subgenerica_det;especifica;especifica_det;presupuesto;modificacion;pim;m01;m02;m03;m04;m05;m06;m07;m08;m09;m10;m11;m12;total_prog;saldo;porcentaje
2017;301280;;;;2;;;1;3; 3; 5; 1; 1;932519;0;932519;73211.56;55689.14;71039.3;69525.56;77130.56;68064.04;62072.02;93575.38;78614.8;75245.54;67736.5;42032.14;833936.54;98582.46;89.43
2017;301280;;;;2;;;1;3; 3; 9; 2; 4;10065;0;10065;1355.1;420.1;1902.3;618.8;315.7;1535.9;1403;1500.1;2547.3;1201.8;1856.4;741.1;15397.6;-5332.6;152.98
2017;301280;;;;2;;;1;3; 3; 9; 2; 7;276339;922464;1198803;57876.9;53453.25;48379.5;29456.45;45822.65;34694.95;32320.4;38517.6;35698.6;44444.85;37793.35;54488.65;512947.15;685855.85;42.79
2017;301280;;;;2;;;1;3; 3; 9; 2; 9;883833;0;883833;17502.45;94892.7;375797.55;305508.45;369507.81;295766.78;240312.17;275740.18;252254.13;560223.79;288816.12;494261.88;3570584.01;-2686751.01;403.99
2017;301280;;;;2;;;1;3; 3; 9; 2;15;578472;0;578472;54364.3;35484.1;7126.4;36965.9;37239.3;10818;30310.7;87480.7;29950;11428;24663.6;10232.1;376063.1;202408.9;65.01
2017;301280;;;;2;;;1;3; 3; 9; 2;23;17643383;1050038;18693421;691586.26;6375556.47;1312767.19;758178.6;2149670.37;737152.61;747599.06;2085825.13;701284.35;541138.79;2296577.2;726359.84;19123695.87;-430274.87;102.3
2017;301280;;;;2;;;1;3; 3; 9; 2;24;32900140;1924232;34824372;1365756.87;10345705.03;2354938.71;1413371.03;4023660.48;1382039.75;2266256.15;3906643.87;1283241.6;1403153.27;3475589.7;1300413.97;34520770.43;303601.57;99.13
2017;301280;;;;2;;;1;3; 3; 9; 2;27;13802764;2230009;16032773;545873.05;4909996.13;928585.1;685412.65;1927064.44;519687.23;684435.76;1903941.56;491219.82;580046.1;2207623.58;530778.33;15914663.75;118109.25;99.26
2017;301280;;;;2;;;1;5; 1; 1; 1; 1;0;0;0;57380.61;56936.75;129645.74;0;112102.46;367945.72;60886.32;275679.07;64178.72;242547.5;51083.23;168709.31;1587095.43;-1587095.43;0
2017;301280;;;;2;;;1;5; 1; 2; 2;99;562273;0;562273;43171.07;48806.64;45658.2;48919.14;49886.37;62205;86737.8;62657.45;83625.05;59232.47;57015.25;58408.36;706322.8;-144049.8;125.62
2017;301280;;;;2;;;1;5; 2; 1; 1; 1;4161922;0;4161922;466472.18;495315.59;538573.48;325158.2;423759.42;333011.46;400578.46;585470.08;439101.1;449707.55;349560.25;436470.69;5243178.46;-1081256.46;125.98
2017;301280;;;;2;;;1;5; 2; 1; 1; 3;0;0;0;0;0;0;0;0;0;1104.35;-1104.35;0;0;0;0;0;0;0
2017;301280;;;;2;;;1;5; 2; 1; 5; 1;368980;5146900;5515880;0;0;0;0;0;0;0;0;0;43137.01;0;82399.22;125536.23;5390343.77;2.28
2017;301280;;;;2;;;1;5; 2; 1; 6;99;331112;0;331112;1064.31;0;726.53;0;0;0;0;0;0;0;0;0;1790.84;329321.16;0.54
2017;301280;;;;2;;;1;5; 5; 1; 1;99;0;430000;430000;0;0;0;0;0;0;0;0;1108671;0;0;0;1108671;-678671;257.83
